 PRO_DESCRICAO_CURTA            PRO_DESCRICAO                                      PRO_COD_PTV    
 Condicao Pgto Usuario          Condicao Pgto Usuario				   PTV0073
 Operacao desconto SC           Operacao desconto SC				   PTV0074
 Natureza Oper. Usuario         Natureza Oper. Usuario                             PTV0075
 Colecao                        Colecao                                            PTV0076
 Catalogo                       Catalogo             				   PTV0077
 Transportadora Usuario         Transportadora Usuario                             PTV0078
 Operacao Empresa               Operacao Empresa                                   PTV0079
 Motivo Perca Pedido            Motivo Perca Pedido                                PTV0080
 Estoque Dimensional            Estoque Dimensional                                PTV0081
 Necessidades (Est. Dimen.)     Necessidades (Est. Dimen.)                         PTV0082
 Em Terceiro (Est. Dimen.)      Em Terceiro (Est. Dimen.)                          PTV0083
 Lotes (Est. Dimen.)            Lotes (Est. Dimen.)                                PTV0084
 Transito (Est. Dimen.)         Transito (Est. Dimen.)                             PTV0085
 Pedidos (Est. Dimen.)          Pedidos (Est. Dimen.)                              PTV0086
 Fat. Entr. Fut. (Est. Dimen.)  Fat. Entr. Fut. (Est. Dimen.)                      PTV0087
 Custos (Est. Dimen.)           Custos (Est. Dimen.)                               PTV0088
 Marcacao Pedido                Marcacao Pedido                                    PTV0089
 Imprime Lote                   Imprime Lote                                       PTV0100
 Dist. Geografica               Dist. Geografica                                   PTV0101
 Transfere Prospect             Transfere Prospect                                 PTV0102
 Faturamento Diario             Faturamento Diario                                 PTV0103



